PLAYER_ID,TEAM_ID,SEASON,PLAYER_NAME
1626220,1610612762,2019,Royce O'Neale
202711,1610612762,2019,Bojan Bogdanovic
203497,1610612762,2019,Rudy Gobert
1628378,1610612762,2019,Donovan Mitchell
201144,1610612762,2019,Mike Conley
204060,1610612762,2019,Joe Ingles
202334,1610612762,2019,Ed Davis
201145,1610612762,2019,Jeff Green
203957,1610612762,2019,Dante Exum
1626144,1610612762,2019,Emmanuel Mudiay
1627777,1610612762,2019,Georges Niang
1628396,1610612762,2019,Tony Bradley
1628430,1610612762,2019,Nigel Williams-Goss
202699,1610612755,2019,Tobias Harris
201143,1610612755,2019,Al Horford
203954,1610612755,2019,Joel Embiid
1627788,1610612755,2019,Furkan Korkmaz
1627732,1610612755,2019,Ben Simmons
203516,1610612755,2019,James Ennis III
203118,1610612755,2019,Mike Scott
203526,1610612755,2019,Raul Neto
1629680,1610612755,2019,Matisse Thybulle
1629003,1610612755,2019,Shake Milton
203124,1610612755,2019,Kyle O'Quinn
203658,1610612755,2019,Norvel Pelle
1628995,1610612752,2019,Kevin Knox II
203944,1610612752,2019,Julius Randle
201959,1610612752,2019,Taj Gibson
1629628,1610612752,2019,RJ Barrett
1628372,1610612752,2019,Dennis Smith Jr.
201961,1610612752,2019,Wayne Ellington
1629011,1610612752,2019,Mitchell Robinson
1628422,1610612752,2019,Damyean Dotson
1626171,1610612752,2019,Bobby Portis
1629019,1610612752,2019,Allonzo Trier
1629649,1610612752,2019,Ignas Brazdeikis
1628443,1610612752,2019,Kadeem Allen
203114,1610612749,2019,Khris Middleton
203507,1610612749,2019,Giannis Antetokounmpo
201577,1610612749,2019,Robin Lopez
202083,1610612749,2019,Wesley Matthews
202339,1610612749,2019,Eric Bledsoe
1628978,1610612749,2019,Donte DiVincenzo
101141,1610612749,2019,Ersan Ilyasova
1626192,1610612749,2019,Pat Connaughton
201588,1610612749,2019,George Hill
1628391,1610612749,2019,D.J. Wilson
2594,1610612749,2019,Kyle Korver
1627733,1610612749,2019,Dragan Bender
203648,1610612749,2019,Thanasis Antetokounmpo
1627739,1610612741,2019,Kris Dunn
1628374,1610612741,2019,Lauri Markkanen
1628976,1610612741,2019,Wendell Carter Jr.
203897,1610612741,2019,Zach LaVine
203107,1610612741,2019,Tomas Satoransky
1629632,1610612741,2019,Coby White
201152,1610612741,2019,Thaddeus Young
1627853,1610612741,2019,Ryan Arcidiacono
1627756,1610612741,2019,Denzel Valentine
1629655,1610612741,2019,Daniel Gafford
1627885,1610612741,2019,Shaquille Harrison
1628436,1610612741,2019,Luke Kornet
1629622,1610612741,2019,Max Strus
203084,1610612758,2019,Harrison Barnes
202357,1610612758,2019,Nemanja Bjelica
1626158,1610612758,2019,Richaun Holmes
1627741,1610612758,2019,Buddy Hield
202709,1610612758,2019,Cory Joseph
203992,1610612758,2019,Bogdan Bogdanovic
1629713,1610612758,2019,Justin James
2772,1610612758,2019,Trevor Ariza
203473,1610612758,2019,Dewayne Dedmon
1627812,1610612758,2019,Yogi Ferrell
1628385,1610612758,2019,Harry Giles III
1629657,1610612758,2019,Kyle Guy
1628403,1610612758,2019,Caleb Swanigan
